,Movie_title,avg_rating,release_year,rating_num
0,Once Upon a Time... In Hollywood,7.6,2019,5600
1,Toy Story 4,7.7,2019,1300
2,Spider-Man: Far from Home,7.4,2019,2300
3,Cold War,7.6,2018,226
4,John Wick: Chapter 3 - Parabellum,7.4,2019,2400
5,How to Train Your Dragon: The Hidden World,7.5,2019,707
6,El Camino: A Breaking Bad Movie,7.3,2019,1800
7,Rocketman,7.3,2019,1000
8,Alita: Battle Angel,7.3,2019,2800
9,Midsommar,7.1,2019,3600
10,Booksmart,7.2,2019,787
11,Shazam!,7.0,2019,2100
12,Fighting with My Family,7.1,2019,396
13,Aladdin,6.9,2019,2400
14,Ad Astra,6.5,2019,3300
15,The Dirt,7.0,2019,580
16,Soorarai Pottru,9.1,2020,2100
17,Dara of Jasenovac,8.7,2020,856
18,Shershaah,8.7,2021,3100
19,Sardar Udham,8.7,2021,893
20,Drishyam 2,8.6,2021,1000
21,96,8.5,2018,479
22,Raatchasan,8.4,2018,547
23,Ayla: The Daughter of War,8.4,2017,80
24,Chhichhore,8.3,2019,721
25,Uri: The Surgical Strike,8.3,2019,1000
26,Tumbbad,8.3,2018,835
27,K.G.F: Chapter 1,8.3,2018,1200
28,Vikram Vedha,8.3,2017,183
29,3:10 to Yuma,7.7,2007,678
30,The Bucket List,7.4,2007,393
31,The Terminal,7.4,2004,812
32,The Bridges of Madison County,7.6,1995,276
33,Driving Miss Daisy,7.4,1989,202
34,Millions,6.9,2004,165
35,As Good as It Gets,7.7,1997,591
36,Dances with Wolves,8.0,1990,522
37,Babel,7.4,2006,986
38,Cast Away,7.8,2000,1200
39,Traffic,7.6,2000,914
40,The Last King of Scotland,7.7,2006,387
41,Blood Diamond,8.0,2006,769
42,Boys Don't Cry,7.5,1999,453
43,Apocalypto,7.8,2006,1200
44,The Blind Side,7.6,2009,566
45,Gandhi,8.0,1982,319
46,Fried Green Tomatoes,7.7,1991,219
47,Scent of a Woman,8.0,1992,472
48,Titanic,7.8,1997,3100
49,The Pursuit of Happyness,8.0,2006,885
50,Little Miss Sunshine,7.8,2006,1000
51,Crash,7.7,2004,1700
52,Mulholland Drive,7.9,2001,2000
53,A Few Good Men,7.7,1992,452
54,Finding Neverland,7.6,2004,679
55,Superbad,7.6,2007,749
56,The Bourne Ultimatum,8.0,2007,938
57,Gone Baby Gone,7.6,2007,629
58,The Untouchables,7.9,1987,578
59,Atonement,7.8,2007,714
60,The English Patient,7.4,1996,544
61,Pride & Prejudice,7.8,2005,1200
62,The Italian Job,7.0,2003,569
63,In the Heat of the Night,7.9,1967,261
64,Munich,7.5,2005,893
65,King Kong,7.2,2005,2700
66,Slumdog Millionaire,8.0,2008,1200
67,The World's Fastest Indian,7.8,2005,273
68,In Bruges,7.9,2008,672
69,When Harry Met Sally...,7.6,1989,369
70,Love Actually,7.6,2003,1200
